"DOMAIN","VARIABLE","LABEL","TYPE"
"DM","STUDYID","Study Identifier","Char"
"DM","DOMAIN","Domain Abbreviation","Char"
"DM","USUBJID","Unique Subject Identifier","Char"
"DM","SUBJID","Subject ID for the Study","Char"
"DM","SITEID","Study Site Identifier","Char"
"DM","RFXSTDTC","Date of First Study Treatment","Char/ISO"
"DM","RFSTDTC","Subject Reference Start Date","Char/ISO"
"DM","RFXENDTC","Date of Last Study Treatment","Char/ISO"
"DM","RFENDTC","Subject Reference End Date","Char/ISO"
"DM","AGE","Age","Num"
"DM","AGEU","Age Units","Char"
"DM","BRTHDTC","Date of Birth","Char/ISO"
"DM","SEX","Sex","Char"
"DM","RACE","Race","Char"
"DM","ETHNICITY","Ethnicity","Char"
"DM","ARMCD","Planned Arm Code","Char"
"DM","ARM","Description of Planned Arm","Char"
"DM","ACTARMCD","Actual Arm Code","Char"
"DM","ACTARM","Description of Actual Arm","Char"
"DM","COUNTRY","Country","Char"
"DM","DTHFL","Subject Death Flag","Char"
"AE","STUDYID","Study Identifier","Char"
"AE","DOMAIN","Domain Abbreviation","Char"
"AE","USUBJID","Unique Subject Identifier","Char"
"AE","AESEQ","Sequence Number","Num"
"AE","AETERM","Reported Term for the AE","Char"
"AE","AEDECOD","Dictionary-Derived Term","Char"
"AE","AEBODSYS","Body System or Organ Class","Char"
"AE","AESEV","Severity/Intensity","Char"
"AE","AESER","Serious Event","Char"
"AE","AEREL","Causality","Char"
"AE","AEACN","Action Taken with Study Treatment","Char"
"AE","AEOUT","Outcome of Adverse Event","Char"
"AE","AESTDTC","Start Date/Time of AE","Char/ISO"
"AE","AEENDTC","End Date/Time of AE","Char/ISO"
"DV","STUDYID","Study Identifier","Char"
"DV","DOMAIN","Domain Abbreviation","Char"
"DV","USUBJID","Unique Subject Identifier","Char"
"DV","DVSEQ","Sequence Number","Num"
"DV","DVTERM","Protocol Deviation Term","Char"
"DV","DVDECOD","Dictionary-Derived Term","Char"
"DV","DVCAT","Category of Deviation","Char"
"DV","DVSCAT","Subcategory","Char"
"DV","DVSTDTC","Start Date of Deviation","Char"
"DV","DVENDTC","End Date of Deviation","Char/ISO"
"DV","EPOCH","Epoch","Char/ISO"
